rq,sc,dm,kp,zg,zd,sp,cjl,cje
20150629,OF,OF150217,1.0140,1.0140,1.0140,1.0140,0,0
20150629,OF,OF150218,1.0360,1.0360,1.0360,1.0360,0,0
20150629,OF,OF150219,1.0140,1.0140,1.0140,1.0140,0,0
20150629,OF,OF150220,0.9900,0.9900,0.9900,0.9900,0,0
20150629,OF,OF150221,1.0190,1.0190,1.0190,1.0190,0,0
20150629,OF,OF150222,1.0030,1.0030,1.0030,1.0030,0,0
20150629,OF,OF150223,1.0150,1.0150,1.0150,1.0150,0,0
20150629,OF,OF150224,0.6250,0.6250,0.6250,0.6250,0,0
20150629,OF,OF150225,1.0066,1.0066,1.0066,1.0066,0,0
20150629,OF,OF150226,0.5488,0.5488,0.5488,0.5488,0,0
20150629,OF,OF150227,1.0110,1.0110,1.0110,1.0110,0,0
20150629,OF,OF150228,0.8370,0.8370,0.8370,0.8370,0,0
20150629,OF,OF150229,1.0090,1.0090,1.0090,1.0090,0,0
20150629,OF,OF150230,1.1710,1.1710,1.1710,1.1710,0,0
20150629,OF,OF150231,1.0067,1.0067,1.0067,1.0067,0,0
20150629,OF,OF150232,0.6195,0.6195,0.6195,0.6195,0,0
20150629,OF,OF150233,1.0046,1.0046,1.0046,1.0046,0,0
20150629,OF,OF150234,0.4160,0.4160,0.4160,0.4160,0,0
20150629,OF,OF150235,1.0080,1.0080,1.0080,1.0080,0,0
20150629,OF,OF150236,0.5160,0.5160,0.5160,0.5160,0,0
20150629,OF,OF150237,1.0020,1.0020,1.0020,1.0020,0,0
20150629,OF,OF150238,0.9280,0.9280,0.9280,0.9280,0,0
20150629,OF,OF150241,1.0090,1.0090,1.0090,1.0090,0,0
20150629,OF,OF150242,0.9330,0.9330,0.9330,0.9330,0,0
20150629,OF,OF150245,1.0020,1.0020,1.0020,1.0020,0,0
20150629,OF,OF150246,0.9640,0.9640,0.9640,0.9640,0,0
20150629,OF,OF150247,1.0068,1.0068,1.0068,1.0068,0,0
20150629,OF,OF150248,0.4142,0.4142,0.4142,0.4142,0,0
20150629,OF,OF150249,1.0060,1.0060,1.0060,1.0060,0,0
20150629,OF,OF150250,0.8560,0.8560,0.8560,0.8560,0,0
20150629,OF,OF150251,1.0060,1.0060,1.0060,1.0060,0,0
20150629,OF,OF150252,0.8440,0.8440,0.8440,0.8440,0,0
20150629,OF,OF150255,1.0037,1.0037,1.0037,1.0037,0,0
20150629,OF,OF150256,0.7553,0.7553,0.7553,0.7553,0,0
20150629,OF,OF150257,1.0037,1.0037,1.0037,1.0037,0,0
20150629,OF,OF150258,0.5579,0.5579,0.5579,0.5579,0,0
20150629,OF,OF150259,1.0037,1.0037,1.0037,1.0037,0,0
20150629,OF,OF150260,0.4907,0.4907,0.4907,0.4907,0,0
20150629,OF,OF150261,1.0068,1.0068,1.0068,1.0068,0,0
20150629,OF,OF150262,0.4158,0.4158,0.4158,0.4158,0,0
20150629,OF,OF150263,1.0045,1.0045,1.0045,1.0045,0,0
20150629,OF,OF150264,0.4617,0.4617,0.4617,0.4617,0,0
20150629,OF,OF150265,1.0080,1.0080,1.0080,1.0080,0,0
20150629,OF,OF150266,0.5990,0.5990,0.5990,0.5990,0,0
20150629,OF,OF150267,0.0000,0.0000,0.0000,0.0000,0,0
20150629,OF,OF150268,0.0000,0.0000,0.0000,0.0000,0,0
20150629,OF,OF150269,1.0050,1.0050,1.0050,1.0050,0,0
20150629,OF,OF150270,1.0410,1.0410,1.0410,1.0410,0,0
20150629,OF,OF150271,1.0050,1.0050,1.0050,1.0050,0,0
20150629,OF,OF150272,0.5330,0.5330,0.5330,0.5330,0,0
20150629,OF,OF150273,1.0060,1.0060,1.0060,1.0060,0,0
20150629,OF,OF150274,0.5280,0.5280,0.5280,0.5280,0,0
20150629,OF,OF150275,1.0070,1.0070,1.0070,1.0070,0,0
20150629,OF,OF150276,0.5050,0.5050,0.5050,0.5050,0,0
20150629,OF,OF150277,1.0050,1.0050,1.0050,1.0050,0,0
20150629,OF,OF150278,0.2630,0.2630,0.2630,0.2630,0,0
20150629,OF,OF150279,1.0050,1.0050,1.0050,1.0050,0,0
20150629,OF,OF150280,0.4810,0.4810,0.4810,0.4810,0,0
20150629,OF,OF150281,1.0020,1.0020,1.0020,1.0020,0,0
20150629,OF,OF150282,0.7440,0.7440,0.7440,0.7440,0,0
20150629,OF,OF150287,1.0020,1.0020,1.0020,1.0020,0,0
20150629,OF,OF150288,0.9110,0.9110,0.9110,0.9110,0,0
20150629,OF,OF150291,1.0040,1.0040,1.0040,1.0040,0,0
20150629,OF,OF150292,0.8090,0.8090,0.8090,0.8090,0,0
20150629,OF,OF150293,1.0034,1.0034,1.0034,1.0034,0,0
20150629,OF,OF150294,0.6404,0.6404,0.6404,0.6404,0,0
20150629,OF,OF150295,1.0043,1.0043,1.0043,1.0043,0,0
20150629,OF,OF150296,0.6123,0.6123,0.6123,0.6123,0,0
20150629,OF,OF150299,1.0036,1.0036,1.0036,1.0036,0,0
20150629,OF,OF150300,0.7758,0.7758,0.7758,0.7758,0,0
20150629,OF,OF150301,1.0036,1.0036,1.0036,1.0036,0,0
20150629,OF,OF150302,0.5560,0.5560,0.5560,0.5560,0,0
20150629,OF,OF150315,1.0020,1.0020,1.0020,1.0020,0,0
20150629,OF,OF150316,0.8000,0.8000,0.8000,0.8000,0,0
20150629,OF,OF150321,1.0020,1.0020,1.0020,1.0020,0,0
20150629,OF,OF150322,0.9680,0.9680,0.9680,0.9680,0,0
20150629,OF,OF159001,100.0000,100.0000,100.0000,100.0000,0,0
20150629,OF,OF159003,100.0000,100.0000,100.0000,100.0000,0,0
20150629,OF,OF159005,100.0000,100.0000,100.0000,100.0000,0,0
20150629,OF,OF159900,1.0000,1.0000,1.0000,1.0000,0,0
20150629,OF,OF159901,4.9666,4.9666,4.9666,4.9666,0,0
20150629,OF,OF159902,4.0350,4.0350,4.0350,4.0350,0,0
20150629,OF,OF159903,1.4011,1.4011,1.4011,1.4011,0,0
20150629,OF,OF159905,1.3062,1.3062,1.3062,1.3062,0,0
20150629,OF,OF159906,1.1990,1.1990,1.1990,1.1990,0,0
20150629,OF,OF159907,1.8060,1.8060,1.8060,1.8060,0,0
20150629,OF,OF159908,1.4245,1.4245,1.4245,1.4245,0,0
20150629,OF,OF159909,6.6850,6.6850,6.6850,6.6850,0,0
20150629,OF,OF159910,1.5700,1.5700,1.5700,1.5700,0,0
20150629,OF,OF159911,5.3542,5.3542,5.3542,5.3542,0,0
20150629,OF,OF159912,1.6708,1.6708,1.6708,1.6708,0,0
20150629,OF,OF159913,1.7170,1.7170,1.7170,1.7170,0,0
20150629,OF,OF159915,2.5320,2.5320,2.5320,2.5320,0,0
20150629,OF,OF159916,2.9676,2.9676,2.9676,2.9676,0,0
20150629,OF,OF159917,1.8800,1.8800,1.8800,1.8800,0,0
20150629,OF,OF159918,2.7744,2.7744,2.7744,2.7744,0,0
20150629,OF,OF159919,4.3645,4.3645,4.3645,4.3645,0,0
20150629,OF,OF159920,1.2146,1.2146,1.2146,1.2146,0,0
20150629,OF,OF159921,2.0390,2.0390,2.0390,2.0390,0,0
20150629,OF,OF159922,8.3742,8.3742,8.3742,8.3742,0,0
20150629,OF,OF159923,1.5140,1.5140,1.5140,1.5140,0,0
20150629,OF,OF159924,1.8350,1.8350,1.8350,1.8350,0,0
20150629,OF,OF159925,1.6554,1.6554,1.6554,1.6554,0,0
20150629,OF,OF159926,105.6380,105.6380,105.6380,105.6380,0,0
20150629,OF,OF159927,4.2357,4.2357,4.2357,4.2357,0,0
20150629,OF,OF159928,1.5714,1.5714,1.5714,1.5714,0,0
20150629,OF,OF159929,1.6471,1.6471,1.6471,1.6471,0,0
20150629,OF,OF159930,1.3634,1.3634,1.3634,1.3634,0,0
20150629,OF,OF159931,1.6799,1.6799,1.6799,1.6799,0,0
20150629,OF,OF159932,2.4000,2.4000,2.4000,2.4000,0,0
20150629,OF,OF159933,1.7102,1.7102,1.7102,1.7102,0,0
20150629,OF,OF159934,2.3514,2.3514,2.3514,2.3514,0,0
20150629,OF,OF159935,2.1905,2.1905,2.1905,2.1905,0,0
20150629,OF,OF159936,1.9998,1.9998,1.9998,1.9998,0,0
20150629,OF,OF159937,2.3471,2.3471,2.3471,2.3471,0,0
20150629,OF,OF159938,1.4903,1.4903,1.4903,1.4903,0,0
20150629,OF,OF159939,1.5121,1.5121,1.5121,1.5121,0,0
20150629,OF,OF159940,0.8922,0.8922,0.8922,0.8922,0,0
20150629,OF,OF159942,2.3810,2.3810,2.3810,2.3810,0,0
20150629,OF,OF160105,1.6921,1.6921,1.6921,1.6921,0,0
20150629,OF,OF160106,2.3681,2.3681,2.3681,2.3681,0,0
20150629,OF,OF160119,1.9607,1.9607,1.9607,1.9607,0,0
20150629,OF,OF160123,1.1465,1.1465,1.1465,1.1465,0,0
20150629,OF,OF160125,1.1486,1.1486,1.1486,1.1486,0,0
20150629,OF,OF160127,1.2400,1.2400,1.2400,1.2400,0,0
20150629,OF,OF160128,1.0500,1.0500,1.0500,1.0500,0,0
20150629,OF,OF160130,1.0860,1.0860,1.0860,1.0860,0,0
20150629,OF,OF160131,1.0330,1.0330,1.0330,1.0330,0,0
20150629,OF,OF160133,1.9410,1.9410,1.9410,1.9410,0,0
20150629,OF,OF160135,0.8219,0.8219,0.8219,0.8219,0,0
20150629,OF,OF160136,0.8083,0.8083,0.8083,0.8083,0,0
20150629,OF,OF160211,2.2140,2.2140,2.2140,2.2140,0,0
20150629,OF,OF160212,1.6920,1.6920,1.6920,1.6920,0,0
20150629,OF,OF160215,1.6420,1.6420,1.6420,1.6420,0,0
20150629,OF,OF160216,0.6740,0.6740,0.6740,0.6740,0,0
20150629,OF,OF160217,1.0070,1.0070,1.0070,1.0070,0,0
20150629,OF,OF160218,0.9459,0.9459,0.9459,0.9459,0,0
20150629,OF,OF160219,0.9623,0.9623,0.9623,0.9623,0,0
20150629,OF,OF160220,1.2450,1.2450,1.2450,1.2450,0,0
20150629,OF,OF160221,0.8952,0.8952,0.8952,0.8952,0,0
20150629,OF,OF160222,0.9470,0.9470,0.9470,0.9470,0,0
20150629,OF,OF160224,0.9574,0.9574,0.9574,0.9574,0,0
20150629,OF,OF160311,1.4620,1.4620,1.4620,1.4620,0,0
20150629,OF,OF160314,1.5030,1.5030,1.5030,1.5030,0,0
20150629,OF,OF160415,1.6410,1.6410,1.6410,1.6410,0,0
20150629,OF,OF160416,0.9120,0.9120,0.9120,0.9120,0,0
20150629,OF,OF160417,1.5360,1.5360,1.5360,1.5360,0,0
20150629,OF,OF160418,0.8897,0.8897,0.8897,0.8897,0,0
20150629,OF,OF160419,0.7798,0.7798,0.7798,0.7798,0,0
20150629,OF,OF160420,0.0000,0.0000,0.0000,0.0000,0,0
20150629,OF,OF160505,3.2350,3.2350,3.2350,3.2350,0,0
20150629,OF,OF160512,2.1730,2.1730,2.1730,2.1730,0,0
20150629,OF,OF160513,1.3270,1.3270,1.3270,1.3270,0,0
20150629,OF,OF160515,1.0750,1.0750,1.0750,1.0750,0,0
20150629,OF,OF160516,0.7777,0.7777,0.7777,0.7777,0,0
20150629,OF,OF160517,0.0000,0.0000,0.0000,0.0000,0,0
20150629,OF,OF160603,1.3990,1.3990,1.3990,1.3990,0,0
20150629,OF,OF160605,1.5620,1.5620,1.5620,1.5620,0,0
20150629,OF,OF160607,1.1950,1.1950,1.1950,1.1950,0,0
20150629,OF,OF160610,1.6970,1.6970,1.6970,1.6970,0,0
20150629,OF,OF160611,1.1470,1.1470,1.1470,1.1470,0,0
20150629,OF,OF160613,1.9660,1.9660,1.9660,1.9660,0,0
20150629,OF,OF160615,1.5590,1.5590,1.5590,1.5590,0,0
20150629,OF,OF160616,1.7130,1.7130,1.7130,1.7130,0,0
20150629,OF,OF160617,1.2730,1.2730,1.2730,1.2730,0,0
20150629,OF,OF160618,1.0290,1.0290,1.0290,1.0290,0,0
20150629,OF,OF160620,1.4870,1.4870,1.4870,1.4870,0,0
20150629,OF,OF160621,1.2240,1.2240,1.2240,1.2240,0,0
20150629,OF,OF160624,1.8260,1.8260,1.8260,1.8260,0,0
20150629,OF,OF160625,0.8650,0.8650,0.8650,0.8650,0,0
20150629,OF,OF160626,0.8270,0.8270,0.8270,0.8270,0,0
20150629,OF,OF160627,1.5560,1.5560,1.5560,1.5560,0,0
20150629,OF,OF160628,0.7740,0.7740,0.7740,0.7740,0,0
20150629,OF,OF160629,0.9610,0.9610,0.9610,0.9610,0,0
20150629,OF,OF160630,1.0240,1.0240,1.0240,1.0240,0,0
20150629,OF,OF160631,0.9240,0.9240,0.9240,0.9240,0,0
20150629,OF,OF160632,1.0900,1.0900,1.0900,1.0900,0,0
20150629,OF,OF160633,0.7620,0.7620,0.7620,0.7620,0,0
20150629,OF,OF160634,0.9650,0.9650,0.9650,0.9650,0,0
20150629,OF,OF160636,0.9830,0.9830,0.9830,0.9830,0,0
20150629,OF,OF160637,0.8060,0.8060,0.8060,0.8060,0,0
20150629,OF,OF160638,0.7670,0.7670,0.7670,0.7670,0,0
20150629,OF,OF160639,0.6340,0.6340,0.6340,0.6340,0,0
20150629,OF,OF160640,0.7430,0.7430,0.7430,0.7430,0,0
20150629,OF,OF160706,1.1357,1.1357,1.1357,1.1357,0,0
20150629,OF,OF160716,1.2517,1.2517,1.2517,1.2517,0,0
20150629,OF,OF160717,0.8377,0.8377,0.8377,0.8377,0,0
20150629,OF,OF160718,1.0270,1.0270,1.0270,1.0270,0,0
20150629,OF,OF160719,0.6220,0.6220,0.6220,0.6220,0,0
20150629,OF,OF160720,1.1040,1.1040,1.1040,1.1040,0,0
20150629,OF,OF160805,1.3926,1.3926,1.3926,1.3926,0,0
20150629,OF,OF160806,1.5470,1.5470,1.5470,1.5470,0,0
20150629,OF,OF160807,1.3650,1.3650,1.3650,1.3650,0,0
20150629,OF,OF160808,0.7560,0.7560,0.7560,0.7560,0,0
20150629,OF,OF160809,0.8520,0.8520,0.8520,0.8520,0,0
20150629,OF,OF160810,1.1050,1.1050,1.1050,1.1050,0,0
20150629,OF,OF160812,1.6860,1.6860,1.6860,1.6860,0,0
20150629,OF,OF160813,1.1950,1.1950,1.1950,1.1950,0,0
20150629,OF,OF160814,0.8730,0.8730,0.8730,0.8730,0,0
20150629,OF,OF160910,1.1860,1.1860,1.1860,1.1860,0,0
20150629,OF,OF160915,1.4610,1.4610,1.4610,1.4610,0,0
20150629,OF,OF160916,2.1680,2.1680,2.1680,2.1680,0,0
20150629,OF,OF160918,1.7710,1.7710,1.7710,1.7710,0,0
20150629,OF,OF160919,1.5090,1.5090,1.5090,1.5090,0,0
20150629,OF,OF161005,2.6435,2.6435,2.6435,2.6435,0,0
20150629,OF,OF161010,1.1160,1.1160,1.1160,1.1160,0,0
20150629,OF,OF161014,1.1720,1.1720,1.1720,1.1720,0,0
20150629,OF,OF161015,0.8350,0.8350,0.8350,0.8350,0,0
20150629,OF,OF161017,2.2610,2.2610,2.2610,2.2610,0,0
20150629,OF,OF161019,1.0140,1.0140,1.0140,1.0140,0,0
20150629,OF,OF161022,0.7410,0.7410,0.7410,0.7410,0,0
20150629,OF,OF161024,1.0330,1.0330,1.0330,1.0330,0,0
20150629,OF,OF161025,0.7270,0.7270,0.7270,0.7270,0,0
20150629,OF,OF161026,0.8430,0.8430,0.8430,0.8430,0,0
20150629,OF,OF161027,0.8200,0.8200,0.8200,0.8200,0,0
20150629,OF,OF161028,1.0360,1.0360,1.0360,1.0360,0,0
20150629,OF,OF161029,0.9710,0.9710,0.9710,0.9710,0,0
20150629,OF,OF161031,0.9010,0.9010,0.9010,0.9010,0,0
20150629,OF,OF161115,1.6230,1.6230,1.6230,1.6230,0,0
20150629,OF,OF161116,0.6340,0.6340,0.6340,0.6340,0,0
20150629,OF,OF161117,1.0790,1.0790,1.0790,1.0790,0,0
20150629,OF,OF161118,0.8245,0.8245,0.8245,0.8245,0,0
